Person,L_T1,L_T2,L_T3,L_T4,R_T1,R_T2,R_T3,R_T4,L_Tot,R_Tot
1,91,35,0,0,91,35,0,0,126,126
2,111,96,111,0,111,94,111,0,318,316
3,71,9,0,0,71,9,0,0,80,80
4,180,0,0,0,180,0,0,0,180,180
5,0,0,0,0,0,0,0,0,0,0
6,12,2,0,0,12,2,0,0,14,14
7,0,0,0,0,0,0,0,0,0,0
8,58,51,119,0,58,50,119,0,228,227
9,159,100,0,0,159,100,0,0,259,259
10,72,0,0,0,72,0,0,0,72,72
11,0,0,0,0,0,0,0,0,0,0
12,195,51,30,36,195,51,30,36,312,312
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,27,0,0,0,27,0,27,27
16,75,29,0,0,75,29,0,0,104,104
17,55,29,24,0,54,29,24,0,108,107
18,120,0,5,7,120,0,5,7,132,132
19,0,62,108,0,0,62,108,0,170,170
20,174,0,24,0,174,0,24,0,198,198
21,0,0,0,0,0,0,0,0,0,0
22,110,160,111,55,110,161,109,55,436,435
23,0,0,0,0,0,0,0,0,0,0
